362.11	C0152132	Hypertension	Hypertensive retinopathy
401	C0085580	Hypertension	Malignant essential hypertension
401	C0024588	Hypertension	Malignant essential hypertension
401.1	C0155583	Hypertension	Benign essential hypertension
401.9	C0085580	Hypertension	Unspecified essential hypertension
402	C0155584	Hypertension	Malignant hypertensive heart disease without heart failure
402	C0152105	Hypertension	Malignant hypertensive heart disease without heart failure
402	C1135328	Hypertension	Malignant hypertensive heart disease without heart failure
402.01	C1135329	Hypertension	Malignant hypertensive heart disease with heart failure
402.1	C0155587	Hypertension	Benign hypertensive heart disease without heart failure
402.1	C1135330	Hypertension	Benign hypertensive heart disease without heart failure
402.11	C1135331	Hypertension	Benign hypertensive heart disease with heart failure
402.9	C1135332	Hypertension	Unspecified hypertensive heart disease without heart failure
402.9	C0152105	Hypertension	Unspecified hypertensive heart disease without heart failure
402.91	C1135333	Hypertension	Unspecified hypertensive heart disease with heart failure
403	C1719462	Hypertension	Hypertensive chronic kidney disease, malignant, with chronic kidney disease stage I through stage IV, or unspecified
403	C1719463	Hypertension	Hypertensive chronic kidney disease, malignant, with chronic kidney disease stage I through stage IV, or unspecified
403	C1719460	Hypertension	Hypertensive chronic kidney disease, malignant, with chronic kidney disease stage I through stage IV, or unspecified
403.01	C1719461	Hypertension	Hypertensive chronic kidney disease, malignant, with chronic kidney disease stage V or end stage renal disease
403.1	C0155596	Hypertension	Hypertensive chronic kidney disease, benign, with chronic kidney disease stage I through stage IV, or unspecified
403.1	C0155596	Hypertension	Hypertensive chronic kidney disease, benign, with chronic kidney disease stage I through stage IV, or unspecified
403.11	C0155598	Hypertension	Hypertensive chronic kidney disease, benign, with chronic kidney disease stage V or end stage renal disease
403.9	C0494574	Hypertension	Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage I through stage IV, or unspecified
403.9	C0848548	Hypertension	Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage I through stage IV, or unspecified
403.91	C0348860	Hypertension	Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage V or end stage renal disease
404	C1719469	Hypertension	Hypertensive heart and chronic kidney disease, malignant, without heart failure and with chronic kidney disease stage I through stage IV, or unspecified
404	C1719468	Hypertension	Hypertensive heart and chronic kidney disease, malignant, without heart failure and with chronic kidney disease stage I through stage IV, or unspecified
404	C1719464	Hypertension	Hypertensive heart and chronic kidney disease, malignant, without heart failure and with chronic kidney disease stage I through stage IV, or unspecified
404.01	C1719465	Hypertension	Hypertensive heart and chronic kidney disease, malignant, with heart failure and with chronic kidney disease stage I through stage IV, or unspecified
404.02	C1719466	Hypertension	Hypertensive heart and chronic kidney disease, malignant, without heart failure and with chronic kidney disease stage V or end stage renal disease
404.03	C1719467	Hypertension	Hypertensive heart and chronic kidney disease, malignant, with heart failure and with chronic kidney disease stage V or end stage renal disease
404.1	C0155607	Hypertension	Hypertensive heart and chronic kidney disease, benign, without heart failure and with chronic kidney disease stage I through stage IV, or unspecified
404.1	C0155608	Hypertension	Hypertensive heart and chronic kidney disease, benign, without heart failure and with chronic kidney disease stage I through stage IV, or unspecified
404.11	C0155609	Hypertension	Hypertensive heart and chronic kidney disease, benign, with heart failure and with chronic kidney disease stage I through stage IV, or unspecified
404.12	C0155610	Hypertension	Hypertensive heart and chronic kidney disease, benign, without heart failure and with chronic kidney disease stage V or end stage renal disease
404.13	C0155611	Hypertension	Hypertensive heart and chronic kidney disease, benign, with heart failure and chronic kidney disease stage V or end stage renal disease
404.9	C0155601	Hypertension	Hypertensive heart and chronic kidney disease, unspecified, without heart failure and with chronic kidney disease stage I through stage IV, or unspecified
404.9	C0155612	Hypertension	Hypertensive heart and chronic kidney disease, unspecified, without heart failure and with chronic kidney disease stage I through stage IV, or unspecified
404.91	C0494575	Hypertension	Hypertensive heart and chronic kidney disease, unspecified, with heart failure and with chronic kidney disease stage I through stage IV, or unspecified
404.92	C0348879	Hypertension	Hypertensive heart and chronic kidney disease, unspecified, without heart failure and with chronic kidney disease stage V or end stage renal disease
404.93	C0494576	Hypertension	Hypertensive heart and chronic kidney disease, unspecified, with heart failure and chronic kidney disease stage V or end stage renal disease
405.01	C0264643	Hypertension	Malignant renovascular hypertension
405.09	C0155619	Hypertension	Other malignant secondary hypertension
405.11	C0155621	Hypertension	Benign renovascular hypertension
405.19	C0155622	Hypertension	Other benign secondary hypertension
405.91	C0155624	Hypertension	Unspecified renovascular hypertension
405.99	C0348586	Hypertension	Other unspecified secondary hypertension
437.2	C0151620	Hypertension	Hypertensive encephalopathy
249	C2349361	Diabetes_mellitus	Secondary diabetes mellitus without mention of complication, not stated as uncontrolled, or unspecified
249	C0271640	Diabetes_mellitus	Secondary diabetes mellitus without mention of complication, not stated as uncontrolled, or unspecified
249	C2349363	Diabetes_mellitus	Secondary diabetes mellitus without mention of complication, not stated as uncontrolled, or unspecified
249.01	C2349362	Diabetes_mellitus	Secondary diabetes mellitus without mention of complication, uncontrolled
249.1	C2349367	Diabetes_mellitus	Secondary diabetes mellitus with ketoacidosis, not stated as uncontrolled, or unspecified
249.1	C2349365	Diabetes_mellitus	Secondary diabetes mellitus with ketoacidosis, not stated as uncontrolled, or unspecified
249.11	C2349366	Diabetes_mellitus	Secondary diabetes mellitus with ketoacidosis, uncontrolled
