24158	Practice guideline for the treatment of patients with major depressive disorder, third edition	C0024517	Depression	benzodiazepine	1	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C1012>	preferred_name	1
47315	Adult depression in primary care	C0024517	Depression	benzodiazepine	5	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C1012>	preferred_name	1
48221	Secondary prevention of ischemic heart disease and stroke in adults	C0002965	Ischemic_Heart_Disease	oat	1	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C101357>	preferred_name	0
39432	Diagnosis and treatment of depression in adults: 2012 clinical practice guideline	C0024517	Depression	gdt	5	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C101517>	full_syn	
37920	ACR Appropriateness Criteria&amp;reg; neuroendocrine imaging	C0028754	Obesity	trf	1	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C101518>	full_syn	
23801	Chronic obstructive pulmonary disease. Management of chronic obstructive pulmonary disease in adults in primary and secondary care	C0008677	COPD_and_Bronchiectasis	beta-carotene	1	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C1016>	preferred_name	1
39380	2012 ACCF/AHA/ACP/AATS/PCNA/SCAI/STS guideline for the diagnosis and management of patients with stable ischemic heart disease	C0002962	Ischemic_Heart_Disease	beta-carotene	1	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C1016>	preferred_name	1
39405	Food and nutrition for older adults promoting health and wellness (FNOA)	C0002395	Alzheimer's_Disease/Alzheimer's_Disease_and_Related_Disorders_ or_Senile_Dementia	beta-carotene	1	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C1016>	preferred_name	1
47700	MI - secondary prevention. Secondary prevention in primary and secondary care for patients following a myocardial infarction	C0155626	Ischemic_Heart_Disease	beta-carotene	1	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C1016>	preferred_name	1
48221	Secondary prevention of ischemic heart disease and stroke in adults	C0002965	Ischemic_Heart_Disease	beta-carotene	2	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C1016>	preferred_name	1
13575	Guide to the care of the hospitalized patient with ischemic stroke. 2nd edition	C0375290	Stroke_or_TIA	uti	5	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C102851>	full_syn	0
32670	Stroke management in the long term care setting	C2937358	Stroke_or_TIA	uti	1	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C102851>	full_syn	0
34755	(1) Stroke assessment across the continuum of care. (2) Stroke assessment across the continuum of care 2011 supplement	C0375288	Stroke_or_TIA	uti	1	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C102851>	full_syn	0
38885	Palliative care for the patient with incurable cancer or advanced disease. Part 2: pain and symptom management	C0868892	Depression	uti	1	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C102851>	full_syn	0
43916	Age-related changes in health. In: Evidence-based geriatric nursing protocols for best practice	C0029456	Osteoporosis	uti	2	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C102851>	full_syn	0
13575	Guide to the care of the hospitalized patient with ischemic stroke. 2nd edition	C0375290	Stroke_or_TIA	sah	2	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C103149>	full_syn	
32645	ACR Appropriateness Criteria&amp;reg; cerebrovascular disease	C0038525	Stroke_or_TIA	sah	23	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C103149>	full_syn	
34910	Use of imaging in cerebrovascular disease	C0375288	Stroke_or_TIA	sah	6	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C103149>	full_syn	
36825	Critical care management of patients following aneurysmal subarachnoid hemorrhage: recommendations from the Neurocritical Care Society\'s Multidisciplinary Consensus Conference	C0038525	Stroke_or_TIA	sah	14	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C103149>	full_syn	
46241	Stable coronary artery disease	C0002962	Ischemic_Heart_Disease	canola oil	1	<http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C1036>	preferred_name	0
