http://bio2rdf.org/pubchem.compound:2022	http://bio2rdf.org/drugbank:DB05347	iontophoretic acyclovir	http://bio2rdf.org/umls:C0276248
http://bio2rdf.org/pubchem.compound:2022	http://bio2rdf.org/drugbank:DB00787	Aciclovir	http://bio2rdf.org/umls:C0276248
http://bio2rdf.org/pubchem.compound:2170	http://bio2rdf.org/drugbank:DB00543	Amoxapine	http://bio2rdf.org/umls:C0086132
http://bio2rdf.org/pubchem.compound:1775	http://bio2rdf.org/drugbank:DB00252	Phenytoin	http://bio2rdf.org/umls:C0311335
http://bio2rdf.org/pubchem.compound:338	http://bio2rdf.org/drugbank:DB00936	Salicylic acid	http://bio2rdf.org/umls:C0033860
http://bio2rdf.org/pubchem.compound:2162	http://bio2rdf.org/drugbank:DB00381	Amlodipine	http://bio2rdf.org/umls:C0018801
http://bio2rdf.org/pubchem.compound:1775	http://bio2rdf.org/drugbank:DB00252	Phenytoin	http://bio2rdf.org/umls:C0036572
http://bio2rdf.org/pubchem.compound:2022	http://bio2rdf.org/drugbank:DB00787	Aciclovir	http://bio2rdf.org/umls:C0001175
http://bio2rdf.org/pubchem.compound:2022	http://bio2rdf.org/drugbank:DB05347	iontophoretic acyclovir	http://bio2rdf.org/umls:C0001175
http://bio2rdf.org/pubchem.compound:888	http://bio2rdf.org/drugbank:DB01378	Magnesium	http://bio2rdf.org/umls:C0036572
http://bio2rdf.org/pubchem.compound:2022	http://bio2rdf.org/drugbank:DB05347	iontophoretic acyclovir	http://bio2rdf.org/umls:C0030193
http://bio2rdf.org/pubchem.compound:2022	http://bio2rdf.org/drugbank:DB00787	Aciclovir	http://bio2rdf.org/umls:C0030193
http://bio2rdf.org/pubchem.compound:2162	http://bio2rdf.org/drugbank:DB00381	Amlodipine	http://bio2rdf.org/umls:C0020538
http://bio2rdf.org/pubchem.compound:444	http://bio2rdf.org/drugbank:DB01156	Bupropion	http://bio2rdf.org/umls:C0011581
http://bio2rdf.org/pubchem.compound:596	http://bio2rdf.org/drugbank:DB05494	CP-4055	http://bio2rdf.org/umls:C0085669
http://bio2rdf.org/pubchem.compound:2094	http://bio2rdf.org/drugbank:DB00437	Allopurinol	http://bio2rdf.org/umls:C2955673
http://bio2rdf.org/pubchem.compound:1990	http://bio2rdf.org/drugbank:DB00551	Acetohydroxamic Acid	http://bio2rdf.org/umls:C0042029
http://bio2rdf.org/pubchem.compound:2118	http://bio2rdf.org/drugbank:DB00404	Alprazolam	http://bio2rdf.org/umls:C0003469
